benefactorClass,benefactorName,benefactorType,benefactorAddress,benefactorPostcode,benefactorCompanyNumber,recipientClass,recipientName,ecReference,type,value,referenceNumber,rate,status,amountRepaid,amountConverted,amountOutstanding,startDate,endDate,repaidDate,ecLastNotifiedDate,recordedBy
Organisation,Lloyds Bank,Company,25 Gresham Street,EC1V 7HN,3695890,Party,Labour Party,Political Party,AL0036418,Loan,2850000,,Base + 4%,Ended,2850000,,,1998-04-17,2008-05-01,2008-05-01,2006-03-31,Salisbury CLP
Organisation,The Portcullis Club,Unincorporated Association,Bay Lodge,,,Party,Conservative Party,Political Party,AL0036575,Loan,1525000,,Nil,Ended,,1525000,,1998-01-01,2006-12-31,2006-12-31,2005-10-10,Uxbridge
Organisation,Lloyds TSB,Company,25 Gresham Street,EC2V 7HN,2652402,Party,Conservative Party,Political Party,AL0036323,Loan,2000000,,Base + 2%,Outstanding,,,2000000,1999-01-01,2019-12-31,,2005-10-10,Sutton Coldfield
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036410,Credit Facility,261000000,,Co-op base rate + 2%,Ended,261000000,,,1999-12-31,,2013-04-01,2006-03-31,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036411,Credit Facility,8000000,,variable,Outstanding,,,8000000,1999-12-31,,,2006-03-31,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036412,Credit Facility,100000,,Co-op base rate + 2%,Outstanding,,,100000,1999-12-31,,,2006-03-31,Swansea East CLP
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036431,Credit Facility,500000,,Base + 3%,Ended,500000,,,1999-12-31,,2010-01-31,2006-03-31,Battersea CLP
Organisation,Unity Trust Bank Plc,Company,PO Box 101,M60 4EP,1713124,Party,Labour Party,Political Party,AL0036432,Credit Facility,154000000,,Co-op base rate + 2%,Ended,154000000,,,1999-12-31,,2013-04-01,2006-03-31,
Organisation,Lloyds TSB,Company,25 Gresham Street,EC2V 7HN,2065,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036536,Loan,640000,,Not specified,Outstanding,,,640000,1999-12-31,,,2006-03-31,Dwyrain Caerfyrddin a Dinefwr
Organisation,Royal Bank of Scotland,Company,6 The Square,TD5 7HG,SC090312,Party,Conservative Party,Political Party,AL0036579,Loan,5000000,,Base + 2%,Ended,5000000,,,1999-01-01,2010-05-14,2010-05-14,2005-10-10,"Berwickshire, Roxburgh & Selkirk"
Organisation,Clydesdale Bank PLC,Company,James Street,HG1 1QU,SC001111,Party,Conservative Party,Political Party,AL0036610,Credit Facility,2100000,,Base + 2.25%,Ended,2100000,,,1999-11-01,2007-09-03,2007-09-03,2005-10-10,Harrogate & Knaresborough
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036651,Credit Facility,46000000,,Unity rate + 2%,Ended,46000000,,,1999-12-31,2007-10-02,2007-10-02,2006-03-31,
Organisation,The Co-operative Bank Plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036652,Credit Facility,89000000,,Co-op base rate + 2%,Ended,89000000,,,1999-12-31,2007-10-02,2013-04-01,2006-03-31,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036655,Credit Facility,200000000,,Co-op base rate + 2%,Ended,200000000,,,1999-12-31,2007-01-01,2008-03-14,2006-03-31,
Organisation,The Co-operative Bank Plc,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036658,Loan,400000000,,6.81% - 7.56%,Ended,400000000,,,1999-12-31,2006-08-21,2006-08-21,2006-03-31,
Individual,Nic Dakin,Individual,,,,Party,Labour Party,Political Party,AL0036660,Loan,192900,,Nil,Ended,,192900,,1999-12-31,2006-05-31,2006-05-31,2006-03-31,Brigg and Goole CLP
Organisation,Unity Trust Bank,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036666,Loan,200000000,,6.81% - 7.56%,Ended,200000000,,,1999-12-31,2006-08-21,2006-08-21,2006-03-31,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036668,Credit Facility,200000,,Base + 4%,Ended,200000,,,1999-12-31,2008-03-31,2008-03-31,2006-03-31,Bath CLP
Individual,Peter Carroll,Individual,,,,Party,Liberal Democrats,Political Party,AL0036710,Loan,665522,,Not specified,Ended,,665522,,1999-12-31,2006-06-30,2006-06-30,2006-04-30,Shepway
Individual,Len Micklewright,Individual,,,,Party,Liberal Democrats,Political Party,AL0036711,Loan,124895,,Not specified,Ended,,124895,,1999-12-31,2006-09-30,2006-09-30,2006-04-30,Ashford
Organisation,Winchester Liberal Democrats Council Group,Unincorporated Association,,,,Party,Liberal Democrats,Political Party,AL0036712,Loan,200000,,Not specified,Ended,,200000,,1999-12-31,2006-09-30,2006-09-30,2006-04-30,Winchester
Individual,Lesley Thornton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036715,Loan,200000,,Not specified,Ended,200000,,,1999-12-31,2006-04-17,2006-04-17,2006-04-30,Harborough
Individual,John Barrett,Individual,,,,Party,Liberal Democrats,Political Party,AL0036722,Loan,200000,,Not specified,Ended,200000,,,1999-12-31,2006-09-11,2006-09-11,2006-04-30,Edinburgh West
Organisation,Lloyds TSB,Company,Louth,,2652402,Party,Conservative Party,Political Party,AL0036315,Credit Facility,200000,,Clubs/Charities Rate + 0.6%,Outstanding,,,200000,2000-01-01,,,2005-10-10,Louth & Horncastle
Organisation,Ford Memorial Trust,Unincorporated Association,4 The Ridgeway,BS10 7DG,,Party,Conservative Party,Political Party,AL0036327,Loan,2000000,,Nil,Outstanding,,,2000000,2000-09-01,2011-10-01,,2005-10-10,Bristol West
Individual,John Howlett,Individual,,,,Party,Labour Party,Political Party,AL0036417,Loan,100000,,nil,Ended,100000,,,2000-01-01,,2008-12-31,2006-03-31,North West Leicestershire CLP
Organisation,Royal Bank of Scotland,Company,12 Golden Square,AB10 1DU,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036547,Loan,4839306,,Not specified,Outstanding,,,4839306,2000-03-01,,,2006-03-31,Moray Constituency
Organisation,Ford Memorial Trust,Unincorporated Association,Powells Solicitors,BS23 1TE,,Party,Conservative Party,Political Party,AL0036605,Loan,1900000,,Nil,Ended,1900000,,,2000-12-19,2007-12-31,2007-12-31,2005-10-10,Northavon
Organisation,Stalbury Trust,Unincorporated Association,c/o Forsters,W1K 3JN,,Party,Conservative Party,Political Party,AL0036631,Loan,7500000,,1%,Ended,7500000,,,2000-03-03,2008-04-07,2008-04-07,2005-10-10,Watford
Organisation,Lloyds Bank,Company,25 Gresham Street,EC1V 7HN,3695890,Party,Labour Party,Political Party,AL0036648,Credit Facility,700000,,Base + 4%,Ended,700000,,,2000-01-01,2007-10-01,2007-10-01,2006-03-31,Gosport CLP
Organisation,Devonport Labour Club,Unincorporated Association,139 Victory Street,PL2 2DB,,Party,Labour Party,Political Party,AL0036669,Loan,1000000,,6.5%,Ended,1000000,,,2000-01-01,2008-02-28,2008-02-28,2006-03-31,Plymouth Moor View CLP
Individual,David Taylor,Individual,,,,Party,Labour Party,Political Party,AL0036670,Loan,1300000,,nil,Ended,1300000,,,2000-01-01,2008-04-16,2008-04-16,2006-03-31,North West Leicestershire CLP
Organisation,Loughborough BS,Company,6 High Street,LE11 2QB,FSA157258,Party,Labour Party,Political Party,AL0036671,Loan,1776300,,7.4%,Ended,1776300,,,2000-01-01,2008-04-16,2008-04-16,2006-03-31,North West Leicestershire CLP
Organisation,National Westminster Bank Plc,Company,225 High Street,LN2 1AZ,929027,Party,Conservative Party,Political Party,AL0036317,Credit Facility,200000,,Base + 6%,Outstanding,,,200000,2001-08-01,,,2005-10-10,Gainsborough
Organisation,National Westminster Bank Plc,Company,18 High Street,SA61 2DE,929027,Party,Conservative Party,Political Party,AL0036320,Loan,10000000,,Base + 2%,Outstanding,,,10000000,2001-09-21,,,2005-10-10,Preseli Pembrokeshire
Individual,Stanley Wiltshire,Individual,,,,Party,Conservative Party,Political Party,AL0036348,Loan,450000,,Nil,Outstanding,,,450000,2001-01-01,,,2005-10-10,Brent North
Organisation,Yorkshire Bank,Company,20 Merrion Way,LS2 8NZ,117413,Party,Liberal Democrats,Political Party,AL0036483,Credit Facility,800000,,6% ABR,Ended,800000,,,2001-04-19,2011-06-30,2011-06-30,2006-04-30,Chesterfield
Organisation,HSBC,Company,7 Conway Road,LL29 7AD,14259,Party,Conservative Party,Political Party,AL0036576,Credit Facility,2500000,,Standard bank rate,Ended,2500000,,,2001-01-01,2010-04-10,2010-04-10,2005-10-10,Yeovil
Individual,Wally Protheroe,Individual,,,,Party,Liberal Democrats,Political Party,AL0036709,Loan,300000,,Nil,Ended,,300000,,2001-02-14,2007-08-01,2007-08-01,2006-04-30,Teignbridge
Individual,Hugo Morriss,Individual,,,,Party,Conservative Party,Political Party,AL0036328,Loan,350000,,Nil,Outstanding,,,350000,2002-06-01,2012-12-31,,2005-10-10,South East Cambridgeshire
Individual,Jeremy Newport,Individual,,,,Party,Conservative Party,Political Party,AL0036329,Loan,750000,,Nil,Outstanding,,,750000,2002-06-01,2012-12-31,,2005-10-10,South East Cambridgeshire
Individual,Judith Niklic,Individual,,,,Party,Conservative Party,Political Party,AL0036333,Loan,7000000,,7%,Ended,7000000,,,2002-08-23,2012-08-23,2012-08-23,2005-10-10,Rutland & Melton
Individual,Pat Harris,Individual,,,,Party,Conservative Party,Political Party,AL0036343,Loan,250000,,Nil,Outstanding,,,250000,2002-06-01,2015-12-31,,2005-10-10,South Cambridgeshire
Individual,John Keatley,Individual,,,,Party,Conservative Party,Political Party,AL0036344,Loan,1150000,,Nil,Outstanding,,,1150000,2002-06-01,2015-12-31,,2005-10-10,South Cambridgeshire
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036404,Loan,4700000,,Base + 3%,Outstanding,,,4700000,2002-03-20,2016-03-20,,2006-03-31,Carlisle CLP
Organisation,Furness Building Society,Company,51 - 55 Duke Street,LA14 1RT,FSA159625,Party,Labour Party,Political Party,AL0036415,Loan,4800000,,Base + 3%,Outstanding,,,4800000,2002-01-01,2023-11-30,,2006-03-31,Barrow and Furness CLP
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036484,Loan,250000,,Nil,Ended,250000,,,2002-06-01,2007-06-30,2011-02-11,2006-04-30,Eastleigh
Organisation,Barclays Bank Plc,Company,54 Lombard Street,EC3P 3AH,1026167,Party,Liberal Democrats,Political Party,AL0036485,Loan,842400,,Base rate + 2%,Ended,842400,,,2002-12-02,2012-12-03,2009-12-31,2006-04-30,Truro & Falmouth
Organisation,Royal Bank of Scotland,Company,,,SC090312,Party,Scottish National Party (SNP),Political Party,AL0036548,Credit Facility,250000,,Not specified,Ended,250000,,,2002-01-01,2013-04-29,2013-03-07,2006-03-31,Banff and Buchan
Individual,Gordon Morgan,Individual,,,,Party,Scottish Socialist Party,Political Party,AL0036766,Loan,2200000,,Nil,Ended,2200000,,,2002-07-01,2007-01-31,2007-01-31,2006-03-31,
Organisation,Co-operative Bank,Company,,,990937,Party,Labour Party,Political Party,AL0036405,Loan,15228900,,Base + 3%,Ended,15228900,,,2003-11-01,2016-05-31,2013-09-30,2006-03-31,Bath CLP
Organisation,Lloyds Bank,Company,25 Gresham Street,EC1V 7HN,3695890,Party,Labour Party,Political Party,AL0036419,Loan,3570000,,Base + 3%,Ended,3570000,,,2003-03-17,2018-03-17,2011-08-15,2006-03-31,Neath CLP
Individual,Wally Protheroe,Individual,,,,Party,Liberal Democrats,Political Party,AL0036487,Loan,250000,,Nil,Outstanding,,,250000,2003-06-25,2016-12-31,,2006-04-30,Newton Abbot
Individual,Joan Kirk,Individual,,,,Party,Liberal Democrats,Political Party,AL0036488,Loan,2000000,,6%,Outstanding,,,2000000,2003-11-09,2009-11-01,,2006-04-30,Boston & Skegness
Individual,James Mather,Individual,,,,Party,Scottish National Party (SNP),Political Party,AS0036549,Authorised Participant Security,19000000,,Not specified,Ended,19000000,,,2003-10-16,,2011-09-02,2006-03-31,
Organisation,Royal Bank of Scotland,Company,,,SC090312,Party,Scottish Socialist Party,Political Party,AL0036556,Loan,6300000,,Not specified,Outstanding,,,6300000,2003-10-27,2013-10-27,,2006-03-31,
Organisation,Royal Bank of Scotland,Company,,,SC090312,Party,Scottish Socialist Party,Political Party,AL0036557,Credit Facility,1000000,,Not specified,Outstanding,,,1000000,2003-10-27,2013-10-27,,2006-03-31,
Organisation,HSBC,Company,PO Box,SA7 9XF,14259,Party,Conservative Party,Political Party,AL0036600,Loan,1900000,,Base +2.5%,Ended,1900000,,,2003-06-01,2006-12-05,2006-12-05,2005-10-10,Clwyd West
Organisation,Wyler Investments Ltd,Company,20 Ropemaker Street,EC2Y 9AR,3288760,Party,Conservative Party,Political Party,AL0036625,Loan,50000000,,Base + 1%,Ended,50000000,,,2003-07-01,2007-06-30,2007-06-30,2005-10-10,
Individual,Nigel Howells,Individual,,,,Party,Liberal Democrats,Political Party,AL0036737,Loan,147315,,Nil,Ended,,147315,,2003-12-01,2009-01-01,2009-01-01,2006-04-30,Cardiff Central & South
Organisation,HSBC Bank,Company,8 Canada Square,E14 5HQ,14259,Party,Plaid Cymru - The Party of Wales,Political Party,AL0036750,Loan,15000000,,Base + 2%,Ended,15000000,,,2003-02-05,2006-12-20,2006-12-20,2006-03-31,
Organisation,Juniper Trading Equities Ltd,Company,Lenz & Staehelin,,BVIRegistered,Party,Conservative Party,Political Party,AL0036312,Loan,25000000,,Base - 0.25%,Outstanding,,,25000000,2004-12-30,2029-11-30,,2005-10-10,
Organisation,National Westminster Bank Plc,Company,135 Bishopsgate,EC2M 3UR,929027,Party,Conservative Party,Political Party,AL0036321,Loan,8500000,,Base + 2%,Outstanding,,,8500000,2004-09-06,2026-09-06,,2005-10-10,Rutland & Melton
Organisation,Lloyds TSB,Company,Penzance Direct,EX4 3ZU,2652402,Party,Conservative Party,Political Party,AL0036322,Loan,1000000,,8.25%,Ended,1000000,,,2004-04-16,2014-04-16,2012-04-11,2005-10-10,St Ives
Organisation,Medlina Foundation,Unincorporated Association,c/o Marxer & Partners,,,Party,Conservative Party,Political Party,AL0036326,Loan,95000000,,Base + 1.00%,Ended,95000000,,,2004-07-28,,2013-09-27,2005-10-10,
Individual,Rupert Collingwood,Individual,,,,Party,Conservative Party,Political Party,AL0036334,Loan,200000,,Nil,Ended,200000,,,2004-02-19,2014-02-19,2012-05-28,2005-10-10,St Ives
Individual,Rupert Collingwood,Individual,,,,Party,Conservative Party,Political Party,AL0036335,Loan,300000,,Nil,Ended,300000,,,2004-06-25,2014-06-25,2012-05-28,2005-10-10,St Ives
Individual,Irene Davies,Individual,,,,Party,Conservative Party,Political Party,AL0036336,Loan,400000,,Nil,Ended,400000,,,2004-02-03,2014-02-03,2012-05-28,2005-10-10,St Ives
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036426,Loan,1000000,,Base + 3%,Outstanding,,,1000000,2004-08-06,2014-08-31,,2006-03-31,Kingston Upon Hull East CLP
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036427,Loan,1758600,,Base + 2%,Ended,1758600,,,2004-11-26,2014-11-26,2009-04-14,2006-03-31,East Lothian CLP DR
Individual,Chris Huhne,Individual,,,,Party,Liberal Democrats,Political Party,AL0036489,Loan,825500,,Nil,Ended,825500,,,2004-08-02,2012-12-31,2010-08-06,2006-04-30,Eastleigh
Individual,Lord Razzall,Individual,,,,Party,Liberal Democrats,Political Party,AL0036490,Loan,10000000,,Nil,Outstanding,,,10000000,2004-11-10,2015-06-30,,2006-04-30,
Individual,Christopher Prior,Individual,,,,Party,The Peoples Party For Better Government,Political Party,AL0036534,Loan,780000,,10%,Outstanding,,,780000,2004-04-16,,,2006-03-31,
Individual,Karen Evans,Individual,,,,Party,The Respect Party,Political Party,AL0036542,Loan,738105,,Nil,Outstanding,,,738105,2004-05-04,,,2006-03-31,
Individual,Maggie Smith,Individual,,,,Party,The Respect Party,Political Party,AL0036543,Loan,603600,,Nil,Outstanding,,,603600,2004-05-04,,,2006-03-31,
Individual,Alan Barker,Individual,,,,Party,The Respect Party,Political Party,AL0036544,Loan,500000,,Nil,Outstanding,,,500000,2004-05-15,,,2006-03-31,
Organisation,Jersey House Developments,Company,Dryden House,NW2 6EW,3340027,Party,Conservative Party,Political Party,AL0036633,Loan,10000000,,Base + 1%,Ended,5000000,5000000,,2004-06-01,2007-05-31,2007-05-31,2005-10-10,
Individual,Laurence K Edkins,Individual,,,,Party,Liberal Democrats,Political Party,AL0036698,Loan,194500,,Nil,Ended,194500,,,2004-03-01,2006-12-31,2006-12-31,2006-04-30,Cambridge
Organisation,Glisson Printers Ltd.,Company,Sheridan House,CB1 2HD,2662298,Party,Liberal Democrats,Political Party,AL0036705,Loan,291900,,Nil,Ended,291900,,,2004-03-01,2007-11-12,2007-11-12,2006-04-30,Cambridge
Individual,Paul Marshall,Individual,,,,Party,Liberal Democrats,Political Party,AL0036716,Loan,12500000,,Nil,Ended,12500000,,,2004-10-05,2006-12-22,2006-12-22,2006-04-30,
Individual,Clive Searle,Individual,,,,Party,The Respect Party,Political Party,AL0036760,Loan,906085,,Nil,Ended,906085,,,2004-05-04,2008-12-30,2008-12-30,2006-03-31,
Organisation,Morain Investments (UK) Ltd,Company,5th Floor,SW1X 7BL,5386427,Party,Conservative Party,Political Party,AL0036313,Credit Facility,250000000,,LIBOR + 0.75%,Outstanding,,,250000000,2005-05-03,,,2005-10-10,
Organisation,Cringle Corporation Ltd,Company,2 Hardman Street,M60 2AT,413150,Party,Conservative Party,Political Party,AL0036314,Loan,45000000,,Base + 1%,Outstanding,,15000000,30000000,2005-10-10,,,2005-10-10,
Organisation,Royal Bank of Scotland,Company,PO Box 90,AB10 1DU,SC090312,Party,Conservative Party,Political Party,AL0036316,Loan,1000000,,Base + 3%,Ended,1000000,,,2005-04-27,,2013-04-30,2005-10-10,Aberdeen South
Organisation,National Westminster Bank Plc,Company,Dudley Business Centre,DY1 1LJ,929027,Party,Conservative Party,Political Party,AL0036324,Credit Facility,1000000,,Base + 3.75%,Outstanding,,,1000000,2005-12-09,,,2005-10-10,Wyre Forest
Organisation,Lloyds TSB,Company,Market Square,MK18 3AB,2652402,Party,Conservative Party,Political Party,AL0036325,Credit Facility,1000000,,Not specified,Ended,1000000,,,2005-01-01,,2014-03-01,2005-10-10,Buckingham
Individual,Paul Johnston,Individual,,,,Party,Conservative Party,Political Party,AL0036330,Loan,200000,,Nil,Outstanding,,,200000,2005-05-27,,,2005-10-10,Kingston & Surbiton
Individual,John Rutter,Individual,,,,Party,Conservative Party,Political Party,AL0036331,Loan,1200000,,Nil,Ended,1200000,,,2005-01-28,,2006-12-15,2005-10-10,Kingston & Surbiton
Organisation,Earlswood Hall Trust,Unincorporated Association,Beverley,RH1 3DT,,Party,Conservative Party,Political Party,AL0036341,Loan,1000000,,4%,Ended,1000000,,,2005-02-10,2010-03-10,2010-03-10,2005-10-10,Reigate and Banstead
Organisation,National Westminster Bank Plc,Company,Market Place,DH1 3YU,929027,Party,Conservative Party,Political Party,AL0036350,Loan,8000000,,Base + 3.25%,Outstanding,,,8000000,2005-04-02,2019-04-02,,2005-10-10,City of Durham
Organisation,AMICUS,Trade Union,Park Gates,M25 0JW,,Party,Labour Party,Political Party,AL0036401,Loan,650000,,base rate,Ended,650000,,,2005-12-19,,2008-12-31,2006-03-31,Wigan CLP
Individual,Barry Townsley,Individual,,,,Party,Labour Party,Political Party,AL0036402,Loan,100000000,,0% until 31/7/2010 then 6.5%,Outstanding,,,100000000,2005-04-13,2015-09-30,,2006-03-31,
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036406,Loan,2000000,,Base + 2.5%,Ended,2000000,,,2005-04-08,2010-03-08,2010-03-08,2006-03-31,Islington South and Finsbury CLP
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036407,Credit Facility,200000,,Base + 2%,Outstanding,,,200000,2005-06-01,,,2006-03-31,Mansfield CLP
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036408,Credit Facility,500000,,base + 4%,Outstanding,,,500000,2005-06-01,,,2006-03-31,Basingstoke CLP
Individual,Derek Tullett,Individual,,,,Party,Labour Party,Political Party,AL0036413,Loan,40000000,,0% until 31/07/2010 then 6.5%,Ended,40000000,,,2005-09-05,2015-09-30,2013-09-30,2006-03-31,
Individual,Chai Patel,Individual,,,,Party,Labour Party,Political Party,AL0036414,Loan,150000000,,0% until 31/07/2010 then 6.5%,Outstanding,,,150000000,2005-07-20,2015-09-30,,2006-03-31,
Individual,Nigel Morris,Individual,,,,Party,Labour Party,Political Party,AL0036420,Loan,100000000,,0% until 31/07/2010 then 6.5%,Outstanding,,,100000000,2005-09-25,2015-09-30,,2006-03-31,
Individual,Rod Aldridge,Individual,,,,Party,Labour Party,Political Party,AL0036422,Loan,100000000,,Base rate plus 2%,Outstanding,,,100000000,2005-10-04,,,2006-03-31,
Individual,Rod Aldridge,Individual,,,,Party,Labour Party,Political Party,AL0036423,Loan,50000000,,Base rate plus 2%,Outstanding,,,50000000,2005-10-04,,,2006-03-31,
Individual,David Garrard,Individual,,,,Party,Labour Party,Political Party,AL0036425,Loan,230000000,,0% until 31/07/2010 then 6.5%,Outstanding,,30000000,200000000,2005-04-19,2015-09-30,,2006-03-31,
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036428,Loan,10000000,,Bank base rate plus 2%,Outstanding,,,10000000,2005-01-01,2024-06-01,,2006-03-31,Gower CLP
Organisation,Unity Trust Bank Plc,Company,9 Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036429,Loan,2400000,,base + 2%,Outstanding,,,2400000,2005-09-01,2015-09-30,,2006-03-31,Twickenham CLP
Organisation,UNITY,Trade Union,Hillcrest House,ST1 2AB,,Party,Labour Party,Political Party,AL0036452,Loan,400000,,Nil,Outstanding,,,400000,2005-03-31,,,2006-03-31,Staffordshire Moorlands CLP
Organisation,The Yeovil C.I.F Trust Fund,Company,c/o Silbury,BA22 9UF,,Party,Liberal Democrats,Political Party,AL0036491,Loan,1500000,,Nil,Outstanding,,,1500000,2005-01-01,,,2006-04-30,Yeovil
Individual,Dominic Mathon,Individual,,,,Party,Liberal Democrats,Political Party,AL0036493,Loan,1200000,,Nil,Ended,,1200000,,2005-05-05,2011-12-31,2011-01-29,2006-04-30,Islington Borough
Individual,Professor Frank Harris,Individual,,,,Party,Liberal Democrats,Political Party,AL0036494,Loan,410000,,Nil,Outstanding,,,410000,2005-05-05,2015-12-31,,2006-04-30,Oxford West & Abingdon
Organisation,Royal Bank of Scotland,Company,,,SC090312,Party,Liberal Democrats,Political Party,AL0036495,Credit Facility,1200000,,12.50%,Outstanding,,,1200000,2005-08-01,2014-08-31,,2006-04-30,
Organisation,Association of Conservative Clubs Ltd,Company,24 Old Queen Street,SW1H 9HP,457188,Party,Conservative Party,Political Party,AL0036583,Loan,20000000,,Base + 0.50%,Ended,20000000,,,2005-04-08,2010-04-27,2010-04-27,2005-10-10,
Organisation,Ironmade Ltd,Company,Orchard House,RH18 5LT,5423689,Party,Conservative Party,Political Party,AL0036593,Loan,101400000,,Base + 1%,Ended,101400000,,,2005-06-01,2010-02-10,2010-02-10,2005-10-10,
Individual,Lord Laidlaw of Rothiemay,Individual,,,,Party,Conservative Party,Political Party,AL0036597,Loan,100000000,,Base + 1.00%,Ended,65550274,38750000,,2005-02-01,2007-11-27,2007-11-27,2005-10-10,
Organisation,Lloyds TSB,Company,234 Hugh Street,EX4 3NE,2652402,Party,Conservative Party,Political Party,AL0036601,Credit Facility,1000000,,Base + 0.8%,Ended,1000000,,,2005-12-01,2007-05-14,2007-05-14,2005-10-10,Exeter
Individual,Lord Steinberg,Individual,,,,Party,Conservative Party,Political Party,AL0036613,Loan,25000000,,Not specified,Ended,25000000,,,2005-04-20,2006-07-31,2006-07-31,2005-10-10,
Individual,G A Facks-Martin,Individual,,,,Party,Conservative Party,Political Party,AL0036638,Loan,5000000,,Base + 1%,Ended,5000000,,,2005-01-12,2009-12-14,2009-12-14,2005-10-10,
Individual,A J Lewis,Individual,,,,Party,Conservative Party,Political Party,AL0036639,Loan,10000000,,Base + 1.00%,Ended,10000000,,,2005-04-28,2009-12-31,2009-12-31,2005-10-10,
Organisation,Weymouth Labour Club,Unincorporated Association,42 Southview Road,DT4 0JD,,Party,Labour Party,Political Party,AL0036644,Loan,990700,,9%,Ended,990700,,,2005-10-10,2009-02-01,2009-02-01,2006-03-31,South Dorset CLP
Organisation,Southend on Sea Labour,Unincorporated Association,268 Sutton Road,SS2 5ET,,Party,Labour Party,Political Party,AL0036650,Loan,250000,,Nil,Ended,250000,,,2005-06-23,2007-07-31,2007-07-31,2006-03-31,Southend West CLP
